author_name,author_profile,title,url
,,Reviews,https://www.theverge.com/reviews
,,Apple Watch Ultra review: an aspirational debut,https://www.theverge.com/23363948/apple-watch-ultra-review-rugged-smartwatch-gps
,,Sheena Vasani,https://www.theverge.com/authors/sheena-vasani
,,Brandon Widder,https://www.theverge.com/authors/brandon-widder
,,Cameron Faulkner,https://www.theverge.com/authors/cameron-faulkner
,,All the streaming boxes suck now,https://www.theverge.com/23621907/streaming-tv-boxes-roku-amazon-google-apple-nvidia
,,Here are the best AirPods deals you can get right now,https://www.theverge.com/21302051/best-apple-airpods-deals
,,Amazon’s Fire TV Stick 4K Max returns to its best price to date,https://www.theverge.com/2023/3/7/23627214/amazon-fire-tv-stick-anker-soundcore-earbuds-samsung-galaxy-z-fold-4-deal-sale
,,Some of the best Nintendo Switch games are $20 off in the run-up to Mario Day,https://www.theverge.com/2023/3/8/23629124/nintendo-switch-mario-games-lg-c2-oled-tv-bose-headphones-700-deal-sale
,,Victoria Song,https://www.theverge.com/authors/victoria-song
,,Accessory Reviews,https://www.theverge.com/tech-accessory-review
,,Here are the best Apple Watch deals right now,https://www.theverge.com/21289209/best-apple-watch-deals
,,Deals,https://www.theverge.com/good-deals
,,The Lightship L1 is a caravan built for EVs that can also power your home,https://www.theverge.com/2023/3/8/23626917/lightship-l1-electric-motor-caravan-rv-price-date
,,"Sony releases new PS5 update with Discord integration, 1440p improvements, and more",https://www.theverge.com/2023/3/8/23630228/sony-ps5-update-discord-1440p-vrr-support
,,"Spotify’s new design is part TikTok, part Instagram, and part YouTube",https://www.theverge.com/2023/3/8/23630821/spotify-design-home-music-podcasts-audiobooks-app
,,How a single engineer brought down Twitter,https://www.theverge.com/2023/3/6/23627875/twitter-outage-how-it-happened-engineer-api-shut-down
,,ScreenDrive,https://www.theverge.com/screendrive-car-review
,,Best Chromebook for 2023,https://www.theverge.com/21296102/best-chromebooks
,,I forgot how good the Apple Watch Ultra’s GPS is until I tried track detection,https://www.theverge.com/23627236/apple-watch-ultra-track-detection-gps
,,Console Reviews,https://www.theverge.com/gaming-console-review
,,TV Box Reviews,https://www.theverge.com/tv-box-review
,,Garmin’s Epix 2 multisport watch made me a touchscreen convert,https://www.theverge.com/22934516/garmin-epix-2-review
,,Ethics Statement,https://www.theverge.com/ethics-statement
,,How to use wearable tech if you’ve got tattoos,https://www.theverge.com/23567992/wearable-tech-tattoos-fitness-tracking-how-to
,,Xbox Elite 2 controller review: Microsoft’s best Xbox controller just got better,https://www.theverge.com/2019/10/31/20926499/microsoft-xbox-elite-wireless-controller-series-2-review-price-specs-features
,,Best laptop 2023: 15 best laptops you can buy,https://www.theverge.com/21250695/best-laptops
,,Pokémon Violet and Scarlet’s first expansion is coming later this year,https://www.theverge.com/23616694/pokemon-violet-and-scarlet-dlc-expansion-trailer-nintendo-switch
,,Pokémon Violet and Scarlet are the vast open worlds the series has been building to,https://www.theverge.com/23462858/pokemon-violet-scarlet-review-nintendo-switch
,,Two of Apple’s best laptops for creators and power users are up to $500 off,https://www.theverge.com/2023/3/3/23622446/apple-macbook-pro-m1-ipad-sony-inzone-h9-logitech-g435-headset-deal-sale
,,Apple announces a new Apple Watch SE,https://www.theverge.com/2022/9/7/23328608/apple-watch-se-new-second-gen-price-specs-features-release-date
,,Bose Noise Cancelling Headphones 700 review: taking back the crown,https://www.theverge.com/2019/7/19/20700627/bose-noise-cancelling-headphones-700-redesigned-microphones-review
,,Sonos is hosting another refurbished soundbar and speaker sale,https://www.theverge.com/2023/3/3/23622746/sonos-arc-sl-roam-one-speaker-soundbar-deal-sale
